Nebraska, Average Temperature, April
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
197604,50.6,2.9
197704,52.8,5.1
197804,48.7,1.0
197904,47.3,-0.4
198004,48.7,1.0
198104,55.7,8.0
198204,45.2,-2.5
198304,41.8,-5.9
198404,43.7,-4.0
198504,52.5,4.8
198604,49.2,1.5
198704,51.7,4.0
198804,48.2,0.5
198904,51.0,3.3
199004,48.0,0.3
199104,49.8,2.1
199204,48.6,0.9
199304,45.5,-2.2
199404,48.2,0.5
199504,43.5,-4.2
199604,47.3,-0.4
199704,42.4,-5.3
199804,47.4,-0.3
199904,47.1,-0.6
200004,48.7,1.0
200104,50.6,2.9
200204,49.9,2.2
200304,50.5,2.8
200404,50.5,2.8
200504,49.7,2.0
200604,53.3,5.6
200704,46.4,-1.3
200804,44.6,-3.1
200904,46.1,-1.6
201004,51.7,4.0
201104,47.5,-0.2
201204,53.5,5.8
201304,42.5,-5.2
201404,48.3,0.6
201504,50.5,2.8
201604,49.9,2.2
201704,49.7,2.0
201804,41.2,-6.5
201904,49.2,1.5
202004,46.1,-1.6
202104,47.0,-0.7
