Nebraska, Average Temperature, May
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
197605,57.0,-1.4
197705,64.1,5.7
197805,57.8,-0.6
197905,56.2,-2.2
198005,58.8,0.4
198105,56.0,-2.4
198205,58.5,0.1
198305,54.2,-4.2
198405,57.4,-1.0
198505,62.2,3.8
198605,58.7,0.3
198705,63.2,4.8
198805,62.1,3.7
198905,59.0,0.6
199005,55.9,-2.5
199105,61.0,2.6
199205,59.7,1.3
199305,58.1,-0.3
199405,62.1,3.7
199505,52.6,-5.8
199605,56.4,-2.0
199705,55.2,-3.2
199805,61.9,3.5
199905,58.2,-0.2
200005,61.6,3.2
200105,59.8,1.4
200205,56.0,-2.4
200305,57.4,-1.0
200405,60.4,2.0
200505,57.8,-0.6
200605,61.2,2.8
200705,62.1,3.7
200805,56.3,-2.1
200905,59.1,0.7
201005,56.3,-2.1
201105,56.0,-2.4
201205,62.3,3.9
201305,58.5,0.1
201405,58.5,0.1
201505,56.2,-2.2
201605,57.2,-1.2
201705,57.0,-1.4
201805,63.8,5.4
201905,53.5,-4.9
202005,56.8,-1.6
202105,57.9,-0.5
