Nebraska, Average Temperature, August
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
197608,73.2,0.9
197708,69.4,-2.9
197808,71.3,-1.0
197908,71.0,-1.3
198008,73.6,1.3
198108,70.5,-1.8
198208,72.5,0.2
198308,78.6,6.3
198408,75.1,2.8
198508,69.5,-2.8
198608,69.7,-2.6
198708,69.8,-2.5
198808,74.0,1.7
198908,72.0,-0.3
199008,72.7,0.4
199108,73.1,0.8
199208,66.9,-5.4
199308,70.7,-1.6
199408,71.8,-0.5
199508,76.1,3.8
199608,70.6,-1.7
199708,71.1,-1.2
199808,73.4,1.1
199908,71.8,-0.5
200008,76.4,4.1
200108,73.9,1.6
200208,73.0,0.7
200308,75.5,3.2
200408,68.5,-3.8
200508,72.6,0.3
200608,72.9,0.6
200708,75.6,3.3
200808,71.4,-0.9
200908,69.4,-2.9
201008,74.8,2.5
201108,73.9,1.6
201208,73.0,0.7
201308,73.8,1.5
201408,72.2,-0.1
201508,70.9,-1.4
201608,71.8,-0.5
201708,69.0,-3.3
201808,70.8,-1.5
201908,71.5,-0.8
202008,74.0,1.7
202108,74.3,2.0
