Nevada, Average Temperature, October
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
197610,50.0,-0.7
197710,53.1,2.4
197810,54.4,3.7
197910,54.3,3.6
198010,51.6,0.9
198110,47.4,-3.3
198210,47.6,-3.1
198310,52.2,1.5
198410,45.5,-5.2
198510,49.6,-1.1
198610,49.8,-0.9
198710,55.4,4.7
198810,58.0,7.3
198910,50.0,-0.7
199010,52.2,1.5
199110,53.6,2.9
199210,54.3,3.6
199310,51.3,0.6
199410,49.1,-1.6
199510,51.7,1.0
199610,50.0,-0.7
199710,49.9,-0.8
199810,47.9,-2.8
199910,54.1,3.4
200010,50.0,-0.7
200110,54.7,4.0
200210,49.1,-1.6
200310,57.0,6.3
200410,49.5,-1.2
200510,51.7,1.0
200610,49.7,-1.0
200710,49.9,-0.8
200810,52.0,1.3
200910,47.9,-2.8
201010,52.9,2.2
201110,52.4,1.7
201210,53.4,2.7
201310,48.1,-2.6
201410,55.4,4.7
201510,56.2,5.5
201610,53.2,2.5
201710,50.4,-0.3
201810,50.3,-0.4
201910,45.6,-5.1
202010,55.3,4.6
202110,49.5,-1.2
