Nevada, Average Temperature, March
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
197603,37.0,-2.5
197703,35.2,-4.3
197803,44.6,5.1
197903,40.1,0.6
198003,37.0,-2.5
198103,39.7,0.2
198203,38.1,-1.4
198303,40.2,0.7
198403,40.2,0.7
198503,36.9,-2.6
198603,45.9,6.4
198703,39.4,-0.1
198803,40.6,1.1
198903,44.5,5.0
199003,43.1,3.6
199103,37.2,-2.3
199203,43.6,4.1
199303,44.0,4.5
199403,44.9,5.4
199503,40.0,0.5
199603,42.0,2.5
199703,44.5,5.0
199803,40.3,0.8
199903,41.2,1.7
200003,41.0,1.5
200103,43.8,4.3
200203,38.2,-1.3
200303,42.7,3.2
200403,47.9,8.4
200503,41.5,2.0
200603,35.8,-3.7
200703,45.9,6.4
200803,40.2,0.7
200903,40.0,0.5
201003,39.9,0.4
201103,40.6,1.1
201203,42.4,2.9
201303,44.7,5.2
201403,43.4,3.9
201503,47.6,8.1
201603,44.2,4.7
201703,45.7,6.2
201803,39.5,0.0
201903,40.1,0.6
202003,40.5,1.0
202103,39.2,-0.3
202203,43.3,3.8
