Nevada, Average Temperature, July
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
197607,72.4,0.3
197707,72.1,0.0
197807,71.6,-0.5
197907,71.9,-0.2
198007,72.5,0.4
198107,73.0,0.9
198207,70.2,-1.9
198307,68.7,-3.4
198407,73.0,0.9
198507,74.4,2.3
198607,69.7,-2.4
198707,68.9,-3.2
198807,75.0,2.9
198907,74.2,2.1
199007,73.5,1.4
199107,73.6,1.5
199207,70.4,-1.7
199307,67.6,-4.5
199407,75.2,3.1
199507,70.3,-1.8
199607,75.3,3.2
199707,70.1,-2.0
199807,73.8,1.7
199907,71.5,-0.6
200007,72.4,0.3
200107,72.0,-0.1
200207,76.3,4.2
200307,77.0,4.9
200407,73.8,1.7
200507,75.9,3.8
200607,76.2,4.1
200707,76.9,4.8
200807,74.3,2.2
200907,74.1,2.0
201007,74.1,2.0
201107,71.9,-0.2
201207,73.7,1.6
201307,76.3,4.2
201407,76.1,4.0
201507,70.9,-1.2
201607,73.7,1.6
201707,76.2,4.1
201807,77.0,4.9
201907,72.8,0.7
202007,74.2,2.1
202107,77.7,5.6
