New Hampshire, Average Temperature, October
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
197610,42.7,-3.1
197710,45.2,-0.6
197810,44.2,-1.6
197910,45.4,-0.4
198010,43.0,-2.8
198110,42.6,-3.2
198210,45.4,-0.4
198310,45.8,0.0
198410,47.7,1.9
198510,46.4,0.6
198610,45.0,-0.8
198710,43.9,-1.9
198810,42.3,-3.5
198910,46.6,0.8
199010,49.5,3.7
199110,48.0,2.2
199210,42.5,-3.3
199310,43.0,-2.8
199410,46.7,0.9
199510,49.9,4.1
199610,44.8,-1.0
199710,44.4,-1.4
199810,47.2,1.4
199910,44.0,-1.8
200010,46.2,0.4
200110,47.9,2.1
200210,43.7,-2.1
200310,44.9,-0.9
200410,46.0,0.2
200510,48.4,2.6
200610,45.6,-0.2
200710,51.4,5.6
200810,45.0,-0.8
200910,43.4,-2.4
201010,46.3,0.5
201110,48.2,2.4
201210,49.7,3.9
201310,48.0,2.2
201410,49.8,4.0
201510,45.2,-0.6
201610,48.0,2.2
201710,53.9,8.1
201810,45.0,-0.8
201910,47.9,2.1
202010,47.0,1.2
202110,52.0,6.2
