New Hampshire, Average Temperature, February
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
197602,23.9,5.4
197702,19.8,1.3
197802,13.2,-5.3
197902,11.4,-7.1
198002,16.8,-1.7
198102,28.4,9.9
198202,18.5,0.0
198302,23.0,4.5
198402,28.3,9.8
198502,22.2,3.7
198602,17.8,-0.7
198702,17.6,-0.9
198802,20.4,1.9
198902,19.3,0.8
199002,22.2,3.7
199102,24.7,6.2
199202,21.5,3.0
199302,12.0,-6.5
199402,14.8,-3.7
199502,17.7,-0.8
199602,19.6,1.1
199702,24.9,6.4
199802,27.8,9.3
199902,24.4,5.9
200002,22.8,4.3
200102,20.8,2.3
200202,25.0,6.5
200302,16.3,-2.2
200402,20.7,2.2
200502,22.5,4.0
200602,22.5,4.0
200702,14.9,-3.6
200802,22.2,3.7
200902,21.7,3.2
201002,25.3,6.8
201102,18.7,0.2
201202,26.9,8.4
201302,23.1,4.6
201402,18.1,-0.4
201502,8.1,-10.4
201602,25.6,7.1
201702,26.7,8.2
201802,27.0,8.5
201902,21.0,2.5
202002,24.2,5.7
202102,20.5,2.0
202202,23.5,5.0
