New Hampshire, Average Temperature, March
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
197603,30.0,1.2
197703,35.5,6.7
197803,25.8,-3.0
197903,34.3,5.5
198003,28.6,-0.2
198103,31.3,2.5
198203,27.7,-1.1
198303,32.5,3.7
198403,24.0,-4.8
198503,31.0,2.2
198603,31.5,2.7
198703,31.7,2.9
198803,29.4,0.6
198903,27.7,-1.1
199003,31.4,2.6
199103,32.9,4.1
199203,26.1,-2.7
199303,26.9,-1.9
199403,29.1,0.3
199503,32.8,4.0
199603,27.4,-1.4
199703,26.7,-2.1
199803,32.7,3.9
199903,31.5,2.7
200003,35.5,6.7
200103,26.8,-2.0
200203,30.9,2.1
200303,28.4,-0.4
200403,32.4,3.6
200503,26.6,-2.2
200603,30.1,1.3
200703,28.1,-0.7
200803,27.3,-1.5
200903,30.1,1.3
201003,37.0,8.2
201103,29.3,0.5
201203,38.9,10.1
201303,30.8,2.0
201403,21.6,-7.2
201503,23.8,-5.0
201603,35.2,6.4
201703,25.3,-3.5
201803,30.3,1.5
201903,27.4,-1.4
202003,34.2,5.4
202103,32.4,3.6
202203,32.0,3.2
