New Jersey, Average Temperature, June
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
197606,71.4,2.9
197706,67.0,-1.5
197806,68.4,-0.1
197906,66.0,-2.5
198006,67.0,-1.5
198106,69.9,1.4
198206,66.0,-2.5
198306,69.4,0.9
198406,71.1,2.6
198506,66.5,-2.0
198606,69.2,0.7
198706,71.1,2.6
198806,68.8,0.3
198906,71.2,2.7
199006,69.2,0.7
199106,70.9,2.4
199206,66.7,-1.8
199306,69.3,0.8
199406,72.2,3.7
199506,69.4,0.9
199606,70.1,1.6
199706,67.8,-0.7
199806,68.5,0.0
199906,70.6,2.1
200006,70.3,1.8
200106,71.0,2.5
200206,70.1,1.6
200306,67.4,-1.1
200406,69.0,0.5
200506,72.1,3.6
200606,70.1,1.6
200706,70.6,2.1
200806,73.0,4.5
200906,67.6,-0.9
201006,73.9,5.4
201106,71.9,3.4
201206,70.0,1.5
201306,71.2,2.7
201406,70.6,2.1
201506,70.3,1.8
201606,70.6,2.1
201706,70.4,1.9
201806,70.1,1.6
201906,70.6,2.1
202006,71.5,3.0
202106,71.7,3.2
