New Jersey, Average Temperature, July
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
197607,71.8,-1.7
197707,74.6,1.1
197807,71.6,-1.9
197907,72.9,-0.6
198007,75.3,1.8
198107,74.9,1.4
198207,73.7,0.2
198307,75.7,2.2
198407,72.4,-1.1
198507,73.4,-0.1
198607,74.2,0.7
198707,75.9,2.4
198807,76.5,3.0
198907,73.0,-0.5
199007,74.4,0.9
199107,75.0,1.5
199207,72.5,-1.0
199307,76.3,2.8
199407,76.8,3.3
199507,76.1,2.6
199607,71.7,-1.8
199707,74.0,0.5
199807,74.4,0.9
199907,78.4,4.9
200007,71.0,-2.5
200107,71.1,-2.4
200207,76.1,2.6
200307,74.5,1.0
200407,73.2,-0.3
200507,76.0,2.5
200607,76.7,3.2
200707,73.7,0.2
200807,76.0,2.5
200907,72.0,-1.5
201007,78.3,4.8
201107,78.4,4.9
201207,77.8,4.3
201307,77.8,4.3
201407,74.1,0.6
201507,75.2,1.7
201607,77.2,3.7
201707,75.5,2.0
201807,76.2,2.7
201907,78.0,4.5
202007,78.8,5.3
202107,75.7,2.2
