New Mexico, Average Temperature, March
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
197603,43.2,-0.3
197703,40.8,-2.7
197803,45.9,2.4
197903,42.8,-0.7
198003,41.9,-1.6
198103,42.8,-0.7
198203,44.7,1.2
198303,43.4,-0.1
198403,43.0,-0.5
198503,45.0,1.5
198603,47.4,3.9
198703,40.9,-2.6
198803,42.9,-0.6
198903,48.7,5.2
199003,45.0,1.5
199103,43.0,-0.5
199203,45.3,1.8
199303,45.0,1.5
199403,46.0,2.5
199503,45.7,2.2
199603,43.4,-0.1
199703,47.4,3.9
199803,43.1,-0.4
199903,46.9,3.4
200003,45.7,2.2
200103,44.4,0.9
200203,43.6,0.1
200303,45.1,1.6
200403,49.7,6.2
200503,43.1,-0.4
200603,45.3,1.8
200703,47.6,4.1
200803,44.9,1.4
200903,47.2,3.7
201003,43.1,-0.4
201103,49.2,5.7
201203,47.8,4.3
201303,46.6,3.1
201403,46.0,2.5
201503,47.6,4.1
201603,48.3,4.8
201703,51.2,7.7
201803,47.2,3.7
201903,45.6,2.1
202003,48.0,4.5
202103,44.8,1.3
202203,44.6,1.1
