New Mexico, Average Temperature, August
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
197608,69.9,-1.0
197708,72.7,1.8
197808,70.2,-0.7
197908,68.8,-2.1
198008,71.6,0.7
198108,69.8,-1.1
198208,71.9,1.0
198308,72.5,1.6
198408,69.9,-1.0
198508,71.6,0.7
198608,71.5,0.6
198708,69.7,-1.2
198808,70.2,-0.7
198908,70.2,-0.7
199008,68.6,-2.3
199108,70.0,-0.9
199208,69.9,-1.0
199308,70.5,-0.4
199408,73.6,2.7
199508,73.7,2.8
199608,71.0,0.1
199708,71.6,0.7
199808,71.5,0.6
199908,71.1,0.2
200008,73.2,2.3
200108,71.5,0.6
200208,73.2,2.3
200308,73.5,2.6
200408,69.3,-1.6
200508,70.8,-0.1
200608,70.2,-0.7
200708,73.7,2.8
200808,71.0,0.1
200908,72.2,1.3
201008,72.3,1.4
201108,76.0,5.1
201208,73.9,3.0
201308,72.3,1.4
201408,70.5,-0.4
201508,73.4,2.5
201608,70.1,-0.8
201708,70.8,-0.1
201808,73.0,2.1
201908,75.3,4.4
202008,76.2,5.3
202108,72.1,1.2
