Arkansas, Average Temperature, June
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
197606,72.9,-3.6
197706,78.7,2.2
197806,76.4,-0.1
197906,74.6,-1.9
198006,78.0,1.5
198106,77.9,1.4
198206,73.7,-2.8
198306,74.0,-2.5
198406,77.6,1.1
198506,76.1,-0.4
198606,77.6,1.1
198706,76.9,0.4
198806,76.6,0.1
198906,74.1,-2.4
199006,78.0,1.5
199106,77.8,1.3
199206,73.9,-2.6
199306,76.4,-0.1
199406,78.8,2.3
199506,74.6,-1.9
199606,76.3,-0.2
199706,74.3,-2.2
199806,79.9,3.4
199906,76.5,0.0
200006,75.1,-1.4
200106,75.5,-1.0
200206,76.6,0.1
200306,73.1,-3.4
200406,75.8,-0.7
200506,77.5,1.0
200606,76.3,-0.2
200706,77.1,0.6
200806,77.7,1.2
200906,78.8,2.3
201006,81.6,5.1
201106,81.7,5.2
201206,78.0,1.5
201306,77.1,0.6
201406,76.7,0.2
201506,78.1,1.6
201606,78.9,2.4
201706,75.5,-1.0
201806,80.1,3.6
201906,75.6,-0.9
202006,76.4,-0.1
202106,76.8,0.3
