Arkansas, Average Temperature, July
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
197607,78.6,-1.7
197707,81.5,1.2
197807,82.7,2.4
197907,78.8,-1.5
198007,85.2,4.9
198107,81.2,0.9
198207,80.4,0.1
198307,80.5,0.2
198407,78.5,-1.8
198507,79.9,-0.4
198607,83.5,3.2
198707,79.6,-0.7
198807,79.6,-0.7
198907,77.6,-2.7
199007,79.9,-0.4
199107,80.6,0.3
199207,79.3,-1.0
199307,83.2,2.9
199407,78.1,-2.2
199507,80.0,-0.3
199607,79.2,-1.1
199707,81.3,1.0
199807,84.0,3.7
199907,81.6,1.3
200007,80.1,-0.2
200107,82.0,1.7
200207,80.6,0.3
200307,80.0,-0.3
200407,77.8,-2.5
200507,80.2,-0.1
200607,81.2,0.9
200707,77.6,-2.7
200807,80.5,0.2
200907,77.8,-2.5
201007,82.0,1.7
201107,84.7,4.4
201207,84.1,3.8
201307,78.0,-2.3
201407,75.4,-4.9
201507,81.9,1.6
201607,82.0,1.7
201707,80.6,0.3
201807,81.8,1.5
201907,79.0,-1.3
202007,81.3,1.0
202107,79.3,-1.0
