Arkansas, Average Temperature, August
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
197608,76.5,-2.8
197708,79.6,0.3
197808,79.7,0.4
197908,77.5,-1.8
198008,84.0,4.7
198108,77.5,-1.8
198208,79.4,0.1
198308,82.7,3.4
198408,77.6,-1.7
198508,79.0,-0.3
198608,76.7,-2.6
198708,82.0,2.7
198808,80.7,1.4
198908,78.0,-1.3
199008,79.2,-0.1
199108,78.2,-1.1
199208,74.0,-5.3
199308,81.3,2.0
199408,76.2,-3.1
199508,83.1,3.8
199608,77.6,-1.7
199708,77.4,-1.9
199808,80.9,1.6
199908,81.2,1.9
200008,83.8,4.5
200108,80.8,1.5
200208,79.9,0.6
200308,80.8,1.5
200408,75.3,-4.0
200508,82.2,2.9
200608,82.1,2.8
200708,83.7,4.4
200808,77.7,-1.6
200908,76.6,-2.7
201008,83.9,4.6
201108,83.1,3.8
201208,80.2,0.9
201308,78.4,-0.9
201408,78.7,-0.6
201508,78.1,-1.2
201608,80.0,0.7
201708,76.9,-2.4
201808,78.8,-0.5
201908,80.3,1.0
202008,77.8,-1.5
202108,80.6,1.3
