Arkansas, Average Temperature, September
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
197609,70.0,-2.8
197709,75.4,2.6
197809,74.7,1.9
197909,69.7,-3.1
198009,76.6,3.8
198109,70.6,-2.2
198209,70.9,-1.9
198309,72.9,0.1
198409,70.2,-2.6
198509,71.7,-1.1
198609,75.3,2.5
198709,72.2,-0.6
198809,73.2,0.4
198909,69.2,-3.6
199009,75.4,2.6
199109,71.6,-1.2
199209,70.5,-2.3
199309,70.6,-2.2
199409,70.2,-2.6
199509,70.0,-2.8
199609,70.0,-2.8
199709,73.2,0.4
199809,77.9,5.1
199909,71.9,-0.9
200009,73.7,0.9
200109,70.9,-1.9
200209,75.2,2.4
200309,70.2,-2.6
200409,73.0,0.2
200509,77.0,4.2
200609,69.7,-3.1
200709,74.1,1.3
200809,71.1,-1.7
200909,71.3,-1.5
201009,74.8,2.0
201109,70.2,-2.6
201209,73.5,0.7
201309,75.4,2.6
201409,72.6,-0.2
201509,74.8,2.0
201609,75.8,3.0
201709,73.2,0.4
201809,75.0,2.2
201909,79.7,6.9
202009,71.8,-1.0
202109,74.2,1.4
