North Carolina, Average Temperature, January
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
197601,37.3,-2.7
197701,28.4,-11.6
197801,33.5,-6.5
197901,37.3,-2.7
198001,40.4,0.4
198101,33.7,-6.3
198201,34.5,-5.5
198301,38.1,-1.9
198401,36.6,-3.4
198501,34.1,-5.9
198601,38.1,-1.9
198701,38.2,-1.8
198801,34.4,-5.6
198901,44.2,4.2
199001,46.5,6.5
199101,41.6,1.6
199201,41.9,1.9
199301,43.6,3.6
199401,36.3,-3.7
199501,41.2,1.2
199601,38.2,-1.8
199701,40.5,0.5
199801,44.3,4.3
199901,45.0,5.0
200001,38.8,-1.2
200101,39.3,-0.7
200201,42.6,2.6
200301,36.4,-3.6
200401,37.9,-2.1
200501,43.0,3.0
200601,46.6,6.6
200701,44.2,4.2
200801,40.1,0.1
200901,38.7,-1.3
201001,36.6,-3.4
201101,36.2,-3.8
201201,43.9,3.9
201301,44.1,4.1
201401,35.3,-4.7
201501,39.4,-0.6
201601,38.4,-1.6
201701,45.4,5.4
201801,35.9,-4.1
201901,42.0,2.0
202001,46.0,6.0
202101,40.8,0.8
202201,38.6,-1.4
