North Carolina, Average Temperature, February
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
197602,49.0,7.1
197702,39.9,-2.0
197802,33.3,-8.6
197902,35.8,-6.1
198002,36.4,-5.5
198102,42.1,0.2
198202,44.4,2.5
198302,40.7,-1.2
198402,45.2,3.3
198502,41.4,-0.5
198602,44.6,2.7
198702,40.0,-1.9
198802,41.0,-0.9
198902,43.3,1.4
199002,49.4,7.5
199102,45.4,3.5
199202,45.8,3.9
199302,40.0,-1.9
199402,43.2,1.3
199502,40.0,-1.9
199602,41.8,-0.1
199702,46.0,4.1
199802,45.6,3.7
199902,44.8,2.9
200002,45.6,3.7
200102,46.4,4.5
200202,44.4,2.5
200302,41.4,-0.5
200402,40.4,-1.5
200502,43.8,1.9
200602,42.1,0.2
200702,39.1,-2.8
200802,46.2,4.3
200902,42.8,0.9
201002,36.9,-5.0
201102,45.7,3.8
201202,45.8,3.9
201302,41.8,-0.1
201402,43.0,1.1
201502,34.9,-7.0
201602,43.2,1.3
201702,50.7,8.8
201802,51.9,10.0
201902,48.1,6.2
202002,47.0,5.1
202102,42.1,0.2
202202,46.1,4.2
