North Carolina, Average Temperature, May
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
197605,64.0,-2.4
197705,67.7,1.3
197805,64.5,-1.9
197905,65.6,-0.8
198005,66.4,0.0
198105,63.8,-2.6
198205,68.8,2.4
198305,64.9,-1.5
198405,65.1,-1.3
198505,67.0,0.6
198605,66.8,0.4
198705,68.4,2.0
198805,64.7,-1.7
198905,63.4,-3.0
199005,66.1,-0.3
199105,70.5,4.1
199205,62.1,-4.3
199305,67.1,0.7
199405,62.9,-3.5
199505,66.6,0.2
199605,67.4,1.0
199705,62.4,-4.0
199805,68.4,2.0
199905,65.2,-1.2
200005,69.1,2.7
200105,66.3,-0.1
200205,65.3,-1.1
200305,65.8,-0.6
200405,71.1,4.7
200505,63.3,-3.1
200605,64.2,-2.2
200705,66.0,-0.4
200805,64.8,-1.6
200905,67.5,1.1
201005,69.5,3.1
201105,67.6,1.2
201205,69.6,3.2
201305,65.1,-1.3
201405,68.5,2.1
201505,68.6,2.2
201605,65.8,-0.6
201705,67.7,1.3
201805,71.6,5.2
201905,72.2,5.8
202005,63.6,-2.8
202105,65.5,-0.9
