North Carolina, Average Temperature, August
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
197608,73.4,-2.2
197708,76.9,1.3
197808,77.0,1.4
197908,75.8,0.2
198008,78.0,2.4
198108,73.4,-2.2
198208,74.3,-1.3
198308,78.0,2.4
198408,75.6,0.0
198508,74.3,-1.3
198608,74.4,-1.2
198708,77.9,2.3
198808,78.2,2.6
198908,74.9,-0.7
199008,76.5,0.9
199108,75.6,0.0
199208,73.4,-2.2
199308,76.3,0.7
199408,74.0,-1.6
199508,77.6,2.0
199608,74.3,-1.3
199708,74.2,-1.4
199808,76.5,0.9
199908,77.8,2.2
200008,75.0,-0.6
200108,76.7,1.1
200208,77.0,1.4
200308,77.3,1.7
200408,73.9,-1.7
200508,78.1,2.5
200608,78.3,2.7
200708,80.6,5.0
200808,75.5,-0.1
200908,77.4,1.8
201008,78.6,3.0
201108,77.7,2.1
201208,75.6,0.0
201308,74.4,-1.2
201408,74.3,-1.3
201508,76.1,0.5
201608,79.2,3.6
201708,75.8,0.2
201808,77.3,1.7
201908,77.0,1.4
202008,77.5,1.9
202108,77.8,2.2
