North Carolina, Average Temperature, September
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
197609,67.6,-2.7
197709,72.1,1.8
197809,71.8,1.5
197909,69.9,-0.4
198009,73.5,3.2
198109,67.6,-2.7
198209,68.0,-2.3
198309,69.8,-0.5
198409,67.0,-3.3
198509,69.4,-0.9
198609,70.8,0.5
198709,71.0,0.7
198809,68.7,-1.6
198909,70.2,-0.1
199009,70.0,-0.3
199109,69.9,-0.4
199209,70.3,0.0
199309,71.7,1.4
199409,67.6,-2.7
199509,68.7,-1.6
199609,69.2,-1.1
199709,69.6,-0.7
199809,73.2,2.9
199909,68.6,-1.7
200009,69.1,-1.2
200109,67.6,-2.7
200209,72.2,1.9
200309,69.4,-0.9
200409,70.2,-0.1
200509,73.6,3.3
200609,68.1,-2.2
200709,72.4,2.1
200809,70.8,0.5
200909,69.6,-0.7
201009,73.1,2.8
201109,71.0,0.7
201209,69.8,-0.5
201309,69.4,-0.9
201409,71.2,0.9
201509,71.6,1.3
201609,74.3,4.0
201709,70.5,0.2
201809,76.2,5.9
201909,74.9,4.6
202009,69.7,-0.6
202109,70.6,0.3
