North Dakota, Average Temperature, November
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
197611,23.9,-2.5
197711,25.0,-1.4
197811,21.2,-5.2
197911,25.2,-1.2
198011,33.2,6.8
198111,34.9,8.5
198211,23.3,-3.1
198311,29.8,3.4
198411,27.1,0.7
198511,13.4,-13.0
198611,21.3,-5.1
198711,33.8,7.4
198811,26.9,0.5
198911,25.9,-0.5
199011,30.2,3.8
199111,21.7,-4.7
199211,26.0,-0.4
199311,24.2,-2.2
199411,29.7,3.3
199511,22.0,-4.4
199611,15.0,-11.4
199711,25.4,-1.0
199811,28.8,2.4
199911,37.3,10.9
200011,21.7,-4.7
200111,37.1,10.7
200211,29.4,3.0
200311,19.6,-6.8
200411,33.3,6.9
200511,31.5,5.1
200611,28.4,2.0
200711,29.2,2.8
200811,29.5,3.1
200911,36.4,10.0
201011,27.2,0.8
201111,30.5,4.1
201211,27.5,1.1
201311,26.2,-0.2
201411,20.2,-6.2
201511,32.5,6.1
201611,39.3,12.9
201711,26.4,0.0
201811,22.9,-3.5
201911,26.1,-0.3
202011,31.8,5.4
202111,32.6,6.2
