North Dakota, Average Temperature, December
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
197612,11.3,-1.4
197712,6.7,-6.0
197812,6.9,-5.8
197912,22.6,9.9
198012,14.7,2.0
198112,12.2,-0.5
198212,19.2,6.5
198312,-2.6,-15.3
198412,7.3,-5.4
198512,7.0,-5.7
198612,20.8,8.1
198712,22.3,9.6
198812,15.8,3.1
198912,6.6,-6.1
199012,9.0,-3.7
199112,20.3,7.6
199212,9.2,-3.5
199312,16.3,3.6
199412,17.3,4.6
199512,11.6,-1.1
199612,4.6,-8.1
199712,24.9,12.2
199812,17.4,4.7
199912,24.3,11.6
200012,2.8,-9.9
200112,17.9,5.2
200212,20.8,8.1
200312,20.3,7.6
200412,19.4,6.7
200512,17.8,5.1
200612,21.4,8.7
200712,12.7,0.0
200812,5.0,-7.7
200912,7.4,-5.3
201012,9.6,-3.1
201112,23.0,10.3
201212,13.3,0.6
201312,5.0,-7.7
201412,18.2,5.5
201512,21.1,8.4
201612,10.2,-2.5
201712,15.6,2.9
201812,20.8,8.1
201912,16.1,3.4
202012,23.4,10.7
202112,14.1,1.4
