North Dakota, Average Temperature, February
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
197602,22.7,10.8
197702,21.5,9.6
197802,5.0,-6.9
197902,-1.0,-12.9
198002,12.5,0.6
198102,20.1,8.2
198202,9.4,-2.5
198302,23.0,11.1
198402,26.6,14.7
198502,10.7,-1.2
198602,11.1,-0.8
198702,26.4,14.5
198802,11.9,0.0
198902,2.6,-9.3
199002,17.7,5.8
199102,25.1,13.2
199202,24.4,12.5
199302,9.6,-2.3
199402,3.0,-8.9
199502,16.5,4.6
199602,14.6,2.7
199702,16.7,4.8
199802,27.8,15.9
199902,22.9,11.0
200002,22.1,10.2
200102,5.5,-6.4
200202,24.1,12.2
200302,8.8,-3.1
200402,15.5,3.6
200502,20.3,8.4
200602,15.0,3.1
200702,7.7,-4.2
200802,10.3,-1.6
200902,11.4,-0.5
201002,9.3,-2.6
201102,10.0,-1.9
201202,21.0,9.1
201302,16.8,4.9
201402,5.6,-6.3
201502,8.4,-3.5
201602,25.6,13.7
201702,20.5,8.6
201802,5.4,-6.5
201902,-2.7,-14.6
202002,17.8,5.9
202102,5.9,-6.0
202202,9.4,-2.5
