North Dakota, Average Temperature, April
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
197604,45.4,4.2
197704,48.8,7.6
197804,41.3,0.1
197904,33.2,-8.0
198004,48.2,7.0
198104,46.2,5.0
198204,38.5,-2.7
198304,38.5,-2.7
198404,43.2,2.0
198504,46.2,5.0
198604,41.2,0.0
198704,50.2,9.0
198804,44.1,2.9
198904,41.9,0.7
199004,42.1,0.9
199104,45.4,4.2
199204,40.1,-1.1
199304,41.3,0.1
199404,41.8,0.6
199504,36.6,-4.6
199604,36.3,-4.9
199704,36.5,-4.7
199804,46.9,5.7
199904,42.6,1.4
200004,41.6,0.4
200104,42.6,1.4
200204,38.2,-3.0
200304,44.9,3.7
200404,43.4,2.2
200504,46.8,5.6
200604,48.5,7.3
200704,40.7,-0.5
200804,40.0,-1.2
200904,39.2,-2.0
201004,47.2,6.0
201104,39.1,-2.1
201204,45.8,4.6
201304,31.3,-9.9
201404,38.2,-3.0
201504,44.3,3.1
201604,41.8,0.6
201704,42.7,1.5
201804,33.3,-7.9
201904,41.8,0.6
202004,37.6,-3.6
202104,40.7,-0.5
