Ohio, Average Temperature, October
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
197610,46.8,-6.0
197710,50.4,-2.4
197810,50.0,-2.8
197910,51.5,-1.3
198010,49.0,-3.8
198110,50.2,-2.6
198210,54.6,1.8
198310,53.7,0.9
198410,57.8,5.0
198510,55.7,2.9
198610,54.8,2.0
198710,47.4,-5.4
198810,46.4,-6.4
198910,52.9,0.1
199010,53.4,0.6
199110,55.2,2.4
199210,50.3,-2.5
199310,50.7,-2.1
199410,53.2,0.4
199510,54.9,2.1
199610,53.4,0.6
199710,52.9,0.1
199810,54.2,1.4
199910,52.6,-0.2
200010,55.9,3.1
200110,53.8,1.0
200210,52.0,-0.8
200310,51.2,-1.6
200410,53.6,0.8
200510,54.2,1.4
200610,50.5,-2.3
200710,59.9,7.1
200810,52.0,-0.8
200910,50.0,-2.8
201010,54.7,1.9
201110,52.7,-0.1
201210,52.4,-0.4
201310,54.3,1.5
201410,53.3,0.5
201510,54.4,1.6
201610,57.7,4.9
201710,57.4,4.6
201810,54.3,1.5
201910,56.5,3.7
202010,53.5,0.7
202110,60.3,7.5
