Ohio, Average Temperature, November
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
197611,33.6,-7.2
197711,43.3,2.5
197811,43.0,2.2
197911,42.5,1.7
198011,38.6,-2.2
198111,41.2,0.4
198211,44.1,3.3
198311,43.2,2.4
198411,39.6,-1.2
198511,46.7,5.9
198611,40.1,-0.7
198711,45.5,4.7
198811,42.8,2.0
198911,40.2,-0.6
199011,45.5,4.7
199111,39.2,-1.6
199211,42.3,1.5
199311,41.4,0.6
199411,46.4,5.6
199511,36.4,-4.4
199611,35.6,-5.2
199711,38.9,-1.9
199811,43.9,3.1
199911,46.2,5.4
200011,40.1,-0.7
200111,48.1,7.3
200211,40.4,-0.4
200311,46.4,5.6
200411,45.2,4.4
200511,44.3,3.5
200611,44.2,3.4
200711,42.0,1.2
200811,39.9,-0.9
200911,46.1,5.3
201011,41.9,1.1
201111,46.9,6.1
201211,39.6,-1.2
201311,39.0,-1.8
201411,36.8,-4.0
201511,47.3,6.5
201611,45.8,5.0
201711,41.8,1.0
201811,37.4,-3.4
201911,37.4,-3.4
202011,46.4,5.6
202111,40.5,-0.3
