Ohio, Average Temperature, December
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
197612,23.7,-6.7
197712,27.9,-2.5
197812,32.0,1.6
197912,33.4,3.0
198012,29.7,-0.7
198112,28.8,-1.6
198212,39.4,9.0
198312,23.8,-6.6
198412,38.0,7.6
198512,24.7,-5.7
198612,32.2,1.8
198712,34.8,4.4
198812,30.7,0.3
198912,18.2,-12.2
199012,35.9,5.5
199112,34.4,4.0
199212,33.0,2.6
199312,30.9,0.5
199412,36.5,6.1
199512,26.4,-4.0
199612,35.4,5.0
199712,33.6,3.2
199812,36.9,6.5
199912,33.0,2.6
200012,21.6,-8.8
200112,37.7,7.3
200212,30.8,0.4
200312,32.8,2.4
200412,31.5,1.1
200512,27.2,-3.2
200612,38.3,7.9
200712,33.1,2.7
200812,31.0,0.6
200912,30.6,0.2
201012,24.8,-5.6
201112,36.9,6.5
201212,37.7,7.3
201312,32.0,1.6
201412,35.3,4.9
201512,43.7,13.3
201612,31.0,0.6
201712,29.2,-1.2
201812,35.1,4.7
201912,36.2,5.8
202012,33.6,3.2
202112,40.2,9.8
