Oklahoma, Average Temperature, April
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
197604,60.6,1.2
197704,61.5,2.1
197804,62.4,3.0
197904,58.1,-1.3
198004,57.3,-2.1
198104,65.3,5.9
198204,56.6,-2.8
198304,53.2,-6.2
198404,55.9,-3.5
198504,61.8,2.4
198604,62.0,2.6
198704,59.6,0.2
198804,57.6,-1.8
198904,61.6,2.2
199004,58.2,-1.2
199104,61.2,1.8
199204,59.9,0.5
199304,55.9,-3.5
199404,59.7,0.3
199504,57.3,-2.1
199604,58.6,-0.8
199704,54.2,-5.2
199804,57.0,-2.4
199904,60.1,0.7
200004,58.5,-0.9
200104,63.6,4.2
200204,61.4,2.0
200304,60.9,1.5
200404,59.9,0.5
200504,59.6,0.2
200604,65.9,6.5
200704,55.5,-3.9
200804,57.8,-1.6
200904,58.3,-1.1
201004,61.5,2.1
201104,62.1,2.7
201204,64.3,4.9
201304,54.7,-4.7
201404,59.4,0.0
201504,61.4,2.0
201604,61.4,2.0
201704,61.4,2.0
201804,54.2,-5.2
201904,60.4,1.0
202004,57.9,-1.5
202104,57.5,-1.9
