Oklahoma, Average Temperature, August
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
197608,79.9,-1.0
197708,80.3,-0.6
197808,81.1,0.2
197908,78.8,-2.1
198008,85.2,4.3
198108,78.4,-2.5
198208,82.8,1.9
198308,84.6,3.7
198408,81.5,0.6
198508,81.2,0.3
198608,78.6,-2.3
198708,81.2,0.3
198808,82.0,1.1
198908,78.2,-2.7
199008,80.2,-0.7
199108,79.5,-1.4
199208,74.4,-6.5
199308,82.1,1.2
199408,79.2,-1.7
199508,82.0,1.1
199608,77.5,-3.4
199708,78.1,-2.8
199808,82.6,1.7
199908,83.2,2.3
200008,85.3,4.4
200108,82.8,1.9
200208,81.1,0.2
200308,82.7,1.8
200408,76.0,-4.9
200508,80.6,-0.3
200608,84.1,3.2
200708,82.6,1.7
200808,79.1,-1.8
200908,78.9,-2.0
201008,83.9,3.0
201108,87.7,6.8
201208,81.5,0.6
201308,80.3,-0.6
201408,80.7,-0.2
201508,79.3,-1.6
201608,80.8,-0.1
201708,77.3,-3.6
201808,79.9,-1.0
201908,82.4,1.5
202008,79.4,-1.5
202108,81.3,0.4
