Oregon, Average Temperature, March
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
197603,35.3,-3.0
197703,36.2,-2.1
197803,43.4,5.1
197903,40.8,2.5
198003,37.5,-0.8
198103,40.0,1.7
198203,37.6,-0.7
198303,41.0,2.7
198403,40.7,2.4
198503,35.6,-2.7
198603,43.9,5.6
198703,40.1,1.8
198803,39.5,1.2
198903,38.8,0.5
199003,41.0,2.7
199103,37.0,-1.3
199203,44.6,6.3
199303,40.9,2.6
199403,42.3,4.0
199503,38.9,0.6
199603,40.6,2.3
199703,40.7,2.4
199803,39.9,1.6
199903,37.4,-0.9
200003,38.6,0.3
200103,41.3,3.0
200203,37.0,-1.3
200303,41.5,3.2
200403,44.2,5.9
200503,42.3,4.0
200603,36.4,-1.9
200703,43.5,5.2
200803,36.5,-1.8
200903,36.4,-1.9
201003,39.5,1.2
201103,37.9,-0.4
201203,38.3,0.0
201303,40.9,2.6
201403,41.8,3.5
201503,45.7,7.4
201603,41.2,2.9
201703,41.6,3.3
201803,38.4,0.1
201903,37.3,-1.0
202003,38.8,0.5
202103,38.9,0.6
202203,41.8,3.5
