Oregon, Average Temperature, April
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
197604,41.6,-2.3
197704,46.7,2.8
197804,42.8,-1.1
197904,43.4,-0.5
198004,45.9,2.0
198104,45.0,1.1
198204,40.3,-3.6
198304,41.8,-2.1
198404,41.4,-2.5
198504,47.1,3.2
198604,43.1,-0.8
198704,49.2,5.3
198804,46.2,2.3
198904,48.2,4.3
199004,49.2,5.3
199104,42.2,-1.7
199204,48.1,4.2
199304,43.2,-0.7
199404,46.6,2.7
199504,42.6,-1.3
199604,45.3,1.4
199704,43.0,-0.9
199804,44.2,0.3
199904,42.0,-1.9
200004,47.8,3.9
200104,41.8,-2.1
200204,45.0,1.1
200304,41.8,-2.1
200404,47.2,3.3
200504,44.0,0.1
200604,44.6,0.7
200704,44.7,0.8
200804,40.3,-3.6
200904,43.4,-0.5
201004,42.0,-1.9
201104,39.5,-4.4
201204,45.9,2.0
201304,44.6,0.7
201404,45.8,1.9
201504,44.7,0.8
201604,50.1,6.2
201704,42.9,-1.0
201804,45.0,1.1
201904,46.1,2.2
202004,46.3,2.4
202104,46.5,2.6
