Oregon, Average Temperature, May
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
197605,51.6,1.1
197705,46.2,-4.3
197805,48.2,-2.3
197905,52.2,1.7
198005,50.3,-0.2
198105,49.8,-0.7
198205,49.6,-0.9
198305,51.9,1.4
198405,49.6,-0.9
198505,51.3,0.8
198605,51.3,0.8
198705,54.0,3.5
198805,50.1,-0.4
198905,49.8,-0.7
199005,48.9,-1.6
199105,47.3,-3.2
199205,57.8,7.3
199305,54.5,4.0
199405,53.4,2.9
199505,51.6,1.1
199605,48.3,-2.2
199705,55.7,5.2
199805,48.1,-2.4
199905,48.1,-2.4
200005,51.2,0.7
200105,55.0,4.5
200205,50.2,-0.3
200305,51.2,0.7
200405,51.0,0.5
200505,52.1,1.6
200605,53.2,2.7
200705,53.1,2.6
200805,51.6,1.1
200905,53.2,2.7
201005,46.4,-4.1
201105,46.5,-4.0
201205,50.8,0.3
201305,52.5,2.0
201405,53.3,2.8
201505,53.5,3.0
201605,53.2,2.7
201705,52.9,2.4
201805,55.4,4.9
201905,52.7,2.2
202005,52.6,2.1
202105,52.0,1.5
