Oregon, Average Temperature, August
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
197608,60.7,-3.2
197708,67.2,3.3
197808,63.1,-0.8
197908,63.7,-0.2
198008,61.1,-2.8
198108,67.0,3.1
198208,64.6,0.7
198308,65.3,1.4
198408,65.2,1.3
198508,62.2,-1.7
198608,68.3,4.4
198708,64.4,0.5
198808,64.4,0.5
198908,61.6,-2.3
199008,65.3,1.4
199108,66.5,2.6
199208,66.5,2.6
199308,61.8,-2.1
199408,65.4,1.5
199508,62.0,-1.9
199608,66.0,2.1
199708,66.2,2.3
199808,67.5,3.6
199908,64.9,1.0
200008,65.4,1.5
200108,67.6,3.7
200208,63.2,-0.7
200308,66.6,2.7
200408,66.6,2.7
200508,66.9,3.0
200608,64.3,0.4
200708,64.8,0.9
200808,65.2,1.3
200908,65.3,1.4
201008,63.5,-0.4
201108,66.1,2.2
201208,67.7,3.8
201308,66.5,2.6
201408,66.6,2.7
201508,66.9,3.0
201608,66.7,2.8
201708,69.6,5.7
201808,66.5,2.6
201908,67.1,3.2
202008,67.2,3.3
202108,66.4,2.5
