Pennsylvania, Average Temperature, January
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
197601,20.7,-4.6
197701,12.7,-12.6
197801,20.2,-5.1
197901,22.5,-2.8
198001,25.7,0.4
198101,19.2,-6.1
198201,18.2,-7.1
198301,27.2,1.9
198401,20.9,-4.4
198501,21.2,-4.1
198601,25.9,0.6
198701,24.9,-0.4
198801,21.7,-3.6
198901,30.9,5.6
199001,34.2,8.9
199101,26.6,1.3
199201,28.2,2.9
199301,30.4,5.1
199401,17.8,-7.5
199501,29.8,4.5
199601,23.6,-1.7
199701,25.1,-0.2
199801,34.3,9.0
199901,27.0,1.7
200001,25.6,0.3
200101,26.1,0.8
200201,33.0,7.7
200301,20.6,-4.7
200401,20.0,-5.3
200501,26.3,1.0
200601,35.2,9.9
200701,31.3,6.0
200801,29.2,3.9
200901,20.5,-4.8
201001,25.7,0.4
201101,22.5,-2.8
201201,30.0,4.7
201301,29.0,3.7
201401,19.6,-5.7
201501,22.5,-2.8
201601,25.4,0.1
201701,31.8,6.5
201801,23.1,-2.2
201901,25.8,0.5
202001,32.2,6.9
202101,29.4,4.1
202201,22.5,-2.8
