Pennsylvania, Average Temperature, March
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
197603,40.8,5.0
197703,41.2,5.4
197803,31.9,-3.9
197903,39.4,3.6
198003,33.3,-2.5
198103,34.0,-1.8
198203,34.9,-0.9
198303,38.7,2.9
198403,29.5,-6.3
198503,38.3,2.5
198603,38.0,2.2
198703,39.0,3.2
198803,37.2,1.4
198903,36.7,0.9
199003,40.2,4.4
199103,39.4,3.6
199203,34.4,-1.4
199303,32.8,-3.0
199403,33.8,-2.0
199503,39.7,3.9
199603,31.8,-4.0
199703,37.6,1.8
199803,39.6,3.8
199903,34.2,-1.6
200003,42.6,6.8
200103,33.3,-2.5
200203,38.2,2.4
200303,37.2,1.4
200403,39.5,3.7
200503,32.3,-3.5
200603,37.0,1.2
200703,37.4,1.6
200803,35.6,-0.2
200903,38.2,2.4
201003,42.0,6.2
201103,36.3,0.5
201203,47.7,11.9
201303,33.8,-2.0
201403,30.3,-5.5
201503,31.6,-4.2
201603,43.3,7.5
201703,35.3,-0.5
201803,33.0,-2.8
201903,34.7,-1.1
202003,42.5,6.7
202103,40.9,5.1
202203,39.4,3.6
