Pennsylvania, Average Temperature, April
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
197604,49.3,2.5
197704,49.7,2.9
197804,45.6,-1.2
197904,46.1,-0.7
198004,47.5,0.7
198104,49.9,3.1
198204,44.0,-2.8
198304,45.2,-1.6
198404,46.3,-0.5
198504,51.2,4.4
198604,49.2,2.4
198704,48.8,2.0
198804,46.3,-0.5
198904,44.6,-2.2
199004,48.8,2.0
199104,50.0,3.2
199204,46.8,0.0
199304,47.4,0.6
199404,50.5,3.7
199504,45.0,-1.8
199604,47.1,0.3
199704,44.6,-2.2
199804,49.5,2.7
199904,48.6,1.8
200004,47.5,0.7
200104,49.2,2.4
200204,50.0,3.2
200304,47.8,1.0
200404,48.3,1.5
200504,49.7,2.9
200604,50.5,3.7
200704,44.8,-2.0
200804,51.2,4.4
200904,49.1,2.3
201004,52.4,5.6
201104,49.7,2.9
201204,47.7,0.9
201304,48.7,1.9
201404,47.7,0.9
201504,48.4,1.6
201604,47.0,0.2
201704,53.7,6.9
201804,43.2,-3.6
201904,50.5,3.7
202004,45.1,-1.7
202104,49.4,2.6
