Pennsylvania, Average Temperature, September
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
197609,59.0,-2.7
197709,63.4,1.7
197809,62.3,0.6
197909,61.3,-0.4
198009,64.0,2.3
198109,60.2,-1.5
198209,61.1,-0.6
198309,62.4,0.7
198409,59.0,-2.7
198509,63.1,1.4
198609,61.9,0.2
198709,61.7,0.0
198809,59.8,-1.9
198909,61.7,0.0
199009,60.8,-0.9
199109,60.9,-0.8
199209,60.6,-1.1
199309,60.6,-1.1
199409,60.3,-1.4
199509,60.4,-1.3
199609,61.9,0.2
199709,60.4,-1.3
199809,64.7,3.0
199909,62.8,1.1
200009,60.6,-1.1
200109,60.4,-1.3
200209,64.9,3.2
200309,61.7,0.0
200409,64.1,2.4
200509,65.5,3.8
200609,60.1,-1.6
200709,64.4,2.7
200809,63.4,1.7
200909,61.4,-0.3
201009,63.6,1.9
201109,64.4,2.7
201209,62.0,0.3
201309,61.0,-0.7
201409,62.5,0.8
201509,66.6,4.9
201609,66.2,4.5
201709,63.8,2.1
201809,66.7,5.0
201909,65.1,3.4
202009,62.1,0.4
202109,64.4,2.7
