Rhode Island, Average Temperature, February
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
197602,34.2,6.4
197702,27.5,-0.3
197802,21.8,-6.0
197902,20.0,-7.8
198002,25.6,-2.2
198102,34.6,6.8
198202,29.7,1.9
198302,30.8,3.0
198402,35.6,7.8
198502,30.2,2.4
198602,27.4,-0.4
198702,27.5,-0.3
198802,30.1,2.3
198902,28.3,0.5
199002,32.9,5.1
199102,33.6,5.8
199202,30.8,3.0
199302,24.4,-3.4
199402,24.6,-3.2
199502,27.8,0.0
199602,28.3,0.5
199702,35.4,7.6
199802,36.0,8.2
199902,33.4,5.6
200002,33.0,5.2
200102,30.9,3.1
200202,34.9,7.1
200302,25.2,-2.6
200402,30.9,3.1
200502,30.3,2.5
200602,30.6,2.8
200702,25.4,-2.4
200802,31.8,4.0
200902,32.0,4.2
201002,31.4,3.6
201102,28.8,1.0
201202,35.7,7.9
201302,30.2,2.4
201402,27.2,-0.6
201502,17.7,-10.1
201602,33.1,5.3
201702,35.2,7.4
201802,37.7,9.9
201902,31.6,3.8
202002,35.4,7.6
202102,30.9,3.1
202202,32.6,4.8
