Rhode Island, Average Temperature, April
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
197604,50.6,4.9
197704,48.1,2.4
197804,45.0,-0.7
197904,46.2,0.5
198004,47.7,2.0
198104,48.9,3.2
198204,44.4,-1.3
198304,46.8,1.1
198404,46.0,0.3
198504,48.5,2.8
198604,48.0,2.3
198704,47.1,1.4
198804,45.4,-0.3
198904,44.6,-1.1
199004,46.6,0.9
199104,49.8,4.1
199204,44.2,-1.5
199304,47.1,1.4
199404,49.0,3.3
199504,46.2,0.5
199604,46.7,1.0
199704,45.6,-0.1
199804,48.4,2.7
199904,48.3,2.6
200004,46.1,0.4
200104,47.5,1.8
200204,50.0,4.3
200304,44.2,-1.5
200404,48.1,2.4
200504,48.5,2.8
200604,48.7,3.0
200704,44.8,-0.9
200804,49.3,3.6
200904,49.4,3.7
201004,52.0,6.3
201104,49.1,3.4
201204,50.1,4.4
201304,47.7,2.0
201404,47.0,1.3
201504,47.2,1.5
201604,46.2,0.5
201704,51.5,5.8
201804,44.4,-1.3
201904,49.2,3.5
202004,44.1,-1.6
202104,48.9,3.2
