Rhode Island, Average Temperature, June
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
197606,67.9,3.2
197706,64.2,-0.5
197806,65.4,0.7
197906,64.0,-0.7
198006,63.2,-1.5
198106,66.9,2.2
198206,61.9,-2.8
198306,67.3,2.6
198406,67.4,2.7
198506,62.4,-2.3
198606,64.0,-0.7
198706,66.5,1.8
198806,64.8,0.1
198906,66.9,2.2
199006,65.9,1.2
199106,67.0,2.3
199206,64.7,0.0
199306,66.3,1.6
199406,68.0,3.3
199506,66.2,1.5
199606,66.6,1.9
199706,66.0,1.3
199806,64.9,0.2
199906,68.6,3.9
200006,66.2,1.5
200106,68.9,4.2
200206,64.6,-0.1
200306,64.2,-0.5
200406,64.9,0.2
200506,68.1,3.4
200606,67.1,2.4
200706,66.5,1.8
200806,69.0,4.3
200906,63.4,-1.3
201006,68.9,4.2
201106,66.2,1.5
201206,65.7,1.0
201306,68.0,3.3
201406,66.4,1.7
201506,64.5,-0.2
201606,66.9,2.2
201706,66.8,2.1
201806,65.9,1.2
201906,66.5,1.8
202006,68.1,3.4
202106,69.8,5.1
