Rhode Island, Average Temperature, July
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
197607,69.3,-1.0
197707,71.2,0.9
197807,69.0,-1.3
197907,72.1,1.8
198007,72.2,1.9
198107,72.3,2.0
198207,71.2,0.9
198307,72.6,2.3
198407,70.1,-0.2
198507,70.8,0.5
198607,69.3,-1.0
198707,71.1,0.8
198807,72.4,2.1
198907,70.3,0.0
199007,71.3,1.0
199107,71.6,1.3
199207,68.2,-2.1
199307,71.9,1.6
199407,74.7,4.4
199507,73.4,3.1
199607,69.4,-0.9
199707,71.2,0.9
199807,71.6,1.3
199907,74.4,4.1
200007,68.5,-1.8
200107,68.2,-2.1
200207,72.5,2.2
200307,71.7,1.4
200407,70.0,-0.3
200507,72.0,1.7
200607,74.2,3.9
200707,71.6,1.3
200807,73.9,3.6
200907,69.1,-1.2
201007,75.0,4.7
201107,73.8,3.5
201207,73.6,3.3
201307,76.4,6.1
201407,72.3,2.0
201507,72.3,2.0
201607,73.8,3.5
201707,71.1,0.8
201807,73.8,3.5
201907,74.8,4.5
202007,75.4,5.1
202107,71.3,1.0
