Rhode Island, Average Temperature, August
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
197608,68.4,-0.3
197708,70.2,1.5
197808,70.2,1.5
197908,69.2,0.5
198008,71.6,2.9
198108,68.5,-0.2
198208,66.7,-2.0
198308,70.6,1.9
198408,71.8,3.1
198508,69.2,0.5
198608,67.3,-1.4
198708,67.8,-0.9
198808,72.8,4.1
198908,70.0,1.3
199008,71.8,3.1
199108,71.3,2.6
199208,67.8,-0.9
199308,71.3,2.6
199408,68.5,-0.2
199508,70.7,2.0
199608,69.8,1.1
199708,69.0,0.3
199808,71.6,2.9
199908,70.4,1.7
200008,68.7,0.0
200108,72.7,4.0
200208,72.6,3.9
200308,73.0,4.3
200408,69.8,1.1
200508,73.8,5.1
200608,70.0,1.3
200708,71.0,2.3
200808,68.4,-0.3
200908,72.7,4.0
201008,70.8,2.1
201108,71.3,2.6
201208,72.5,3.8
201308,69.1,0.4
201408,68.6,-0.1
201508,72.6,3.9
201608,73.9,5.2
201708,69.8,1.1
201808,75.1,6.4
201908,71.3,2.6
202008,73.8,5.1
202108,73.7,5.0
