South Carolina, Average Temperature, January
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
197601,41.5,-3.1
197701,33.6,-11.0
197801,37.4,-7.2
197901,40.9,-3.7
198001,44.8,0.2
198101,38.8,-5.8
198201,40.1,-4.5
198301,40.9,-3.7
198401,41.5,-3.1
198501,39.1,-5.5
198601,42.2,-2.4
198701,42.8,-1.8
198801,38.8,-5.8
198901,49.0,4.4
199001,50.5,5.9
199101,45.7,1.1
199201,45.6,1.0
199301,48.2,3.6
199401,41.2,-3.4
199501,45.1,0.5
199601,42.9,-1.7
199701,46.0,1.4
199801,48.1,3.5
199901,49.0,4.4
200001,43.5,-1.1
200101,43.3,-1.3
200201,47.0,2.4
200301,41.5,-3.1
200401,43.0,-1.6
200501,47.6,3.0
200601,50.6,6.0
200701,48.4,3.8
200801,43.9,-0.7
200901,44.2,-0.4
201001,40.7,-3.9
201101,40.6,-4.0
201201,48.3,3.7
201301,50.2,5.6
201401,39.7,-4.9
201501,43.8,-0.8
201601,43.0,-1.6
201701,51.4,6.8
201801,40.6,-4.0
201901,46.7,2.1
202001,50.3,5.7
202101,46.0,1.4
202201,43.8,-0.8
