South Carolina, Average Temperature, April
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
197604,62.5,0.6
197704,65.0,3.1
197804,63.2,1.3
197904,63.1,1.2
198004,62.3,0.4
198104,65.9,4.0
198204,59.9,-2.0
198304,57.3,-4.6
198404,59.6,-2.3
198504,63.9,2.0
198604,63.4,1.5
198704,59.4,-2.5
198804,61.7,-0.2
198904,61.0,-0.9
199004,61.6,-0.3
199104,65.1,3.2
199204,60.9,-1.0
199304,58.4,-3.5
199404,64.5,2.6
199504,64.1,2.2
199604,60.9,-1.0
199704,59.0,-2.9
199804,62.0,0.1
199904,65.3,3.4
200004,60.4,-1.5
200104,63.5,1.6
200204,67.4,5.5
200304,61.1,-0.8
200404,62.5,0.6
200504,60.5,-1.4
200604,66.0,4.1
200704,60.9,-1.0
200804,61.7,-0.2
200904,61.7,-0.2
201004,64.5,2.6
201104,65.0,3.1
201204,64.2,2.3
201304,62.1,0.2
201404,63.3,1.4
201504,64.8,2.9
201604,63.1,1.2
201704,67.0,5.1
201804,60.0,-1.9
201904,64.0,2.1
202004,62.1,0.2
202104,62.1,0.2
