South Carolina, Average Temperature, June
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
197606,74.0,-3.0
197706,77.8,0.8
197806,77.2,0.2
197906,73.4,-3.6
198006,76.4,-0.6
198106,80.8,3.8
198206,76.8,-0.2
198306,75.0,-2.0
198406,77.3,0.3
198506,77.6,0.6
198606,79.7,2.7
198706,77.8,0.8
198806,75.2,-1.8
198906,77.7,0.7
199006,77.6,0.6
199106,76.7,-0.3
199206,74.3,-2.7
199306,78.0,1.0
199406,78.1,1.1
199506,75.4,-1.6
199606,76.7,-0.3
199706,73.4,-3.6
199806,80.2,3.2
199906,75.4,-1.6
200006,78.4,1.4
200106,77.0,0.0
200206,77.8,0.8
200306,76.0,-1.0
200406,78.5,1.5
200506,76.2,-0.8
200606,76.5,-0.5
200706,77.2,0.2
200806,80.1,3.1
200906,79.1,2.1
201006,81.8,4.8
201106,80.8,3.8
201206,74.8,-2.2
201306,77.4,0.4
201406,78.4,1.4
201506,80.5,3.5
201606,79.8,2.8
201706,76.9,-0.1
201806,80.2,3.2
201906,77.2,0.2
202006,76.1,-0.9
202106,76.8,-0.2
