South Dakota, Average Temperature, December
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
197612,19.7,0.0
197712,15.8,-3.9
197812,13.9,-5.8
197912,28.2,8.5
198012,23.1,3.4
198112,19.2,-0.5
198212,24.6,4.9
198312,2.0,-17.7
198412,15.5,-4.2
198512,12.8,-6.9
198612,26.9,7.2
198712,25.6,5.9
198812,24.0,4.3
198912,13.1,-6.6
199012,15.1,-4.6
199112,27.3,7.6
199212,17.2,-2.5
199312,23.6,3.9
199412,23.4,3.7
199512,21.9,2.2
199612,11.5,-8.2
199712,28.0,8.3
199812,25.6,5.9
199912,29.1,9.4
200012,10.5,-9.2
200112,24.7,5.0
200212,27.3,7.6
200312,26.6,6.9
200412,27.2,7.5
200512,20.1,0.4
200612,27.0,7.3
200712,19.4,-0.3
200812,14.1,-5.6
200912,13.5,-6.2
201012,17.7,-2.0
201112,26.8,7.1
201212,21.4,1.7
201312,13.5,-6.2
201412,24.2,4.5
201512,24.3,4.6
201612,15.4,-4.3
201712,21.7,2.0
201812,25.3,5.6
201912,23.3,3.6
202012,28.3,8.6
202112,24.6,4.9
