South Dakota, Average Temperature, April
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
197604,48.7,4.0
197704,50.7,6.0
197804,43.8,-0.9
197904,42.1,-2.6
198004,48.8,4.1
198104,51.7,7.0
198204,42.0,-2.7
198304,39.9,-4.8
198404,43.6,-1.1
198504,50.2,5.5
198604,44.6,-0.1
198704,51.5,6.8
198804,46.4,1.7
198904,46.1,1.4
199004,45.0,0.3
199104,47.4,2.7
199204,44.3,-0.4
199304,43.2,-1.5
199404,45.1,0.4
199504,39.1,-5.6
199604,42.4,-2.3
199704,39.5,-5.2
199804,46.9,2.2
199904,44.7,0.0
200004,45.0,0.3
200104,46.1,1.4
200204,44.5,-0.2
200304,47.9,3.2
200404,47.9,3.2
200504,48.2,3.5
200604,50.2,5.5
200704,42.9,-1.8
200804,42.1,-2.6
200904,42.3,-2.4
201004,49.3,4.6
201104,43.1,-1.6
201204,50.2,5.5
201304,36.9,-7.8
201404,43.4,-1.3
201504,47.7,3.0
201604,46.3,1.6
201704,46.1,1.4
201804,36.7,-8.0
201904,44.2,-0.5
202004,42.0,-2.7
202104,43.6,-1.1
