South Dakota, Average Temperature, August
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
197608,73.9,3.4
197708,66.2,-4.3
197808,70.3,-0.2
197908,68.5,-2.0
198008,70.0,-0.5
198108,70.1,-0.4
198208,70.9,0.4
198308,77.1,6.6
198408,73.8,3.3
198508,67.2,-3.3
198608,67.7,-2.8
198708,67.6,-2.9
198808,72.8,2.3
198908,72.1,1.6
199008,71.7,1.2
199108,72.8,2.3
199208,64.9,-5.6
199308,68.0,-2.5
199408,69.0,-1.5
199508,73.7,3.2
199608,71.2,0.7
199708,69.4,-1.1
199808,72.2,1.7
199908,71.0,0.5
200008,73.2,2.7
200108,73.4,2.9
200208,70.4,-0.1
200308,74.8,4.3
200408,66.1,-4.4
200508,71.0,0.5
200608,72.2,1.7
200708,71.4,0.9
200808,71.2,0.7
200908,67.4,-3.1
201008,73.6,3.1
201108,71.6,1.1
201208,71.0,0.5
201308,71.6,1.1
201408,69.3,-1.2
201508,69.8,-0.7
201608,71.0,0.5
201708,67.4,-3.1
201808,69.9,-0.6
201908,68.2,-2.3
202008,72.6,2.1
202108,72.5,2.0
