California, Average Temperature, December
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
197612,43.9,0.8
197712,47.4,4.3
197812,39.2,-3.9
197912,45.7,2.6
198012,47.1,4.0
198112,46.7,3.6
198212,42.5,-0.6
198312,45.2,2.1
198412,40.8,-2.3
198512,43.4,0.3
198612,44.1,1.0
198712,40.9,-2.2
198812,42.5,-0.6
198912,44.8,1.7
199012,38.4,-4.7
199112,44.0,0.9
199212,40.3,-2.8
199312,43.1,0.0
199412,42.1,-1.0
199512,46.4,3.3
199612,45.6,2.5
199712,42.4,-0.7
199812,42.0,-1.1
199912,45.3,2.2
200012,46.5,3.4
200112,42.8,-0.3
200212,44.0,0.9
200312,44.0,0.9
200412,44.6,1.5
200512,46.1,3.0
200612,43.9,0.8
200712,41.2,-1.9
200812,42.0,-1.1
200912,41.8,-1.3
201012,45.8,2.7
201112,42.8,-0.3
201212,43.0,-0.1
201312,44.1,1.0
201412,46.8,3.7
201512,42.3,-0.8
201612,43.4,0.3
201712,47.5,4.4
201812,44.8,1.7
201912,44.4,1.3
202012,45.5,2.4
202112,43.5,0.4
