Tennessee, Average Temperature, January
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
197601,33.4,-3.8
197701,23.1,-14.1
197801,26.8,-10.4
197901,29.2,-8.0
198001,38.8,1.6
198101,32.3,-4.9
198201,32.8,-4.4
198301,36.2,-1.0
198401,32.0,-5.2
198501,28.5,-8.7
198601,35.9,-1.3
198701,35.9,-1.3
198801,32.8,-4.4
198901,42.8,5.6
199001,43.8,6.6
199101,38.4,1.2
199201,38.6,1.4
199301,40.9,3.7
199401,32.0,-5.2
199501,38.2,1.0
199601,35.8,-1.4
199701,37.0,-0.2
199801,42.6,5.4
199901,42.0,4.8
200001,37.8,0.6
200101,34.3,-2.9
200201,40.3,3.1
200301,32.2,-5.0
200401,36.9,-0.3
200501,42.8,5.6
200601,45.0,7.8
200701,40.2,3.0
200801,36.4,-0.8
200901,35.3,-1.9
201001,32.8,-4.4
201101,33.9,-3.3
201201,42.4,5.2
201301,41.0,3.8
201401,30.0,-7.2
201501,36.1,-1.1
201601,34.8,-2.4
201701,44.9,7.7
201801,32.9,-4.3
201901,39.4,2.2
202001,43.0,5.8
202101,39.6,2.4
202201,35.6,-1.6
