Tennessee, Average Temperature, December
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
197612,35.5,-3.7
197712,37.4,-1.8
197812,39.8,0.6
197912,39.9,0.7
198012,39.1,-0.1
198112,36.4,-2.8
198212,45.8,6.6
198312,32.9,-6.3
198412,48.2,9.0
198512,33.8,-5.4
198612,39.3,0.1
198712,42.6,3.4
198812,39.6,0.4
198912,29.4,-9.8
199012,43.0,3.8
199112,43.2,4.0
199212,39.2,0.0
199312,39.2,0.0
199412,43.7,4.5
199512,37.3,-1.9
199612,42.7,3.5
199712,38.9,-0.3
199812,43.3,4.1
199912,41.5,2.3
200012,30.6,-8.6
200112,44.4,5.2
200212,39.5,0.3
200312,38.9,-0.3
200412,38.7,-0.5
200512,36.4,-2.8
200612,43.3,4.1
200712,44.5,5.3
200812,40.4,1.2
200912,37.9,-1.3
201012,32.7,-6.5
201112,42.8,3.6
201212,45.6,6.4
201312,40.4,1.2
201412,42.8,3.6
201512,51.3,12.1
201612,40.9,1.7
201712,39.5,0.3
201812,42.7,3.5
201912,45.2,6.0
202012,39.5,0.3
202112,50.5,11.3
