Tennessee, Average Temperature, February
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
197602,47.1,7.0
197702,37.9,-2.2
197802,28.9,-11.2
197902,33.5,-6.6
198002,33.9,-6.2
198102,40.0,-0.1
198202,39.5,-0.6
198302,40.6,0.5
198402,42.7,2.6
198502,36.2,-3.9
198602,43.6,3.5
198702,42.0,1.9
198802,37.8,-2.3
198902,38.2,-1.9
199002,48.0,7.9
199102,42.7,2.6
199202,45.1,5.0
199302,38.4,-1.7
199402,41.8,1.7
199502,39.0,-1.1
199602,39.1,-1.0
199702,45.0,4.9
199802,44.4,4.3
199902,44.7,4.6
200002,45.4,5.3
200102,44.7,4.6
200202,40.5,0.4
200302,38.5,-1.6
200402,39.4,-0.7
200502,44.4,4.3
200602,38.5,-1.6
200702,35.9,-4.2
200802,42.2,2.1
200902,42.3,2.2
201002,33.7,-6.4
201102,43.1,3.0
201202,44.5,4.4
201302,40.8,0.7
201402,38.3,-1.8
201502,31.4,-8.7
201602,42.5,2.4
201702,48.9,8.8
201802,48.5,8.4
201902,46.7,6.6
202002,43.3,3.2
202102,37.4,-2.7
202202,41.8,1.7
