Tennessee, Average Temperature, April
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
197604,57.6,0.0
197704,60.8,3.2
197804,59.5,1.9
197904,57.5,-0.1
198004,55.8,-1.8
198104,62.8,5.2
198204,53.7,-3.9
198304,51.7,-5.9
198404,56.2,-1.4
198504,59.8,2.2
198604,59.1,1.5
198704,55.0,-2.6
198804,57.2,-0.4
198904,56.4,-1.2
199004,56.0,-1.6
199104,60.9,3.3
199204,57.2,-0.4
199304,54.6,-3.0
199404,60.2,2.6
199504,58.7,1.1
199604,54.5,-3.1
199704,53.0,-4.6
199804,56.8,-0.8
199904,61.4,3.8
200004,55.3,-2.3
200104,61.3,3.7
200204,60.9,3.3
200304,59.4,1.8
200404,57.2,-0.4
200504,57.9,0.3
200604,63.2,5.6
200704,55.2,-2.4
200804,57.2,-0.4
200904,57.2,-0.4
201004,60.9,3.3
201104,61.0,3.4
201204,60.0,2.4
201304,56.8,-0.8
201404,58.6,1.0
201504,60.1,2.5
201604,59.5,1.9
201704,63.1,5.5
201804,52.9,-4.7
201904,59.3,1.7
202004,55.4,-2.2
202104,56.2,-1.4
