Tennessee, Average Temperature, July
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
197607,74.8,-2.3
197707,79.1,2.0
197807,77.8,0.7
197907,75.2,-1.9
198007,80.7,3.6
198107,78.0,0.9
198207,77.8,0.7
198307,78.3,1.2
198407,74.7,-2.4
198507,76.5,-0.6
198607,80.1,3.0
198707,77.6,0.5
198807,77.2,0.1
198907,76.0,-1.1
199007,76.3,-0.8
199107,78.1,1.0
199207,76.9,-0.2
199307,80.5,3.4
199407,75.8,-1.3
199507,77.3,0.2
199607,75.6,-1.5
199707,77.5,0.4
199807,78.0,0.9
199907,79.4,2.3
200007,76.8,-0.3
200107,77.1,0.0
200207,78.8,1.7
200307,76.2,-0.9
200407,75.6,-1.5
200507,78.0,0.9
200607,78.0,0.9
200707,76.2,-0.9
200807,76.8,-0.3
200907,73.7,-3.4
201007,79.8,2.7
201107,80.0,2.9
201207,80.5,3.4
201307,74.8,-2.3
201407,73.4,-3.7
201507,78.3,1.2
201607,79.8,2.7
201707,78.1,1.0
201807,78.1,1.0
201907,77.8,0.7
202007,79.2,2.1
202107,77.1,0.0
