Tennessee, Average Temperature, August
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
197608,73.0,-3.0
197708,76.9,0.9
197808,76.4,0.4
197908,74.9,-1.1
198008,79.6,3.6
198108,74.5,-1.5
198208,74.3,-1.7
198308,79.6,3.6
198408,75.0,-1.0
198508,74.8,-1.2
198608,74.6,-1.4
198708,78.4,2.4
198808,78.2,2.2
198908,75.0,-1.0
199008,76.0,0.0
199108,75.5,-0.5
199208,71.8,-4.2
199308,77.3,1.3
199408,73.9,-2.1
199508,79.4,3.4
199608,75.0,-1.0
199708,74.2,-1.8
199808,76.4,0.4
199908,77.0,1.0
200008,77.1,1.1
200108,76.7,0.7
200208,77.8,1.8
200308,77.1,1.1
200408,72.2,-3.8
200508,78.9,2.9
200608,79.2,3.2
200708,82.6,6.6
200808,75.2,-0.8
200908,74.9,-1.1
201008,79.8,3.8
201108,77.8,1.8
201208,75.6,-0.4
201308,74.7,-1.3
201408,75.9,-0.1
201508,74.2,-1.8
201608,79.0,3.0
201708,74.6,-1.4
201808,76.5,0.5
201908,76.9,0.9
202008,76.4,0.4
202108,77.2,1.2
