Tennessee, Average Temperature, September
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
197609,66.6,-3.6
197709,71.8,1.6
197809,72.7,2.5
197909,68.3,-1.9
198009,73.3,3.1
198109,66.8,-3.4
198209,67.5,-2.7
198309,69.7,-0.5
198409,67.1,-3.1
198509,68.3,-1.9
198609,72.3,2.1
198709,69.3,-0.9
198809,69.7,-0.5
198909,68.4,-1.8
199009,71.4,1.2
199109,70.2,0.0
199209,68.6,-1.6
199309,68.3,-1.9
199409,66.9,-3.3
199509,68.2,-2.0
199609,67.5,-2.7
199709,69.6,-0.6
199809,74.4,4.2
199909,69.3,-0.9
200009,69.6,-0.6
200109,67.6,-2.6
200209,73.3,3.1
200309,68.1,-2.1
200409,69.6,-0.6
200509,72.6,2.4
200609,67.2,-3.0
200709,73.0,2.8
200809,71.2,1.0
200909,70.6,0.4
201009,71.6,1.4
201109,68.1,-2.1
201209,69.1,-1.1
201309,70.7,0.5
201409,70.7,0.5
201509,70.9,0.7
201609,74.1,3.9
201709,69.1,-1.1
201809,74.9,4.7
201909,76.4,6.2
202009,69.9,-0.3
202109,69.7,-0.5
