Texas, Average Temperature, December
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
197612,44.6,-2.3
197712,49.5,2.6
197812,45.6,-1.3
197912,47.6,0.7
198012,49.3,2.4
198112,48.8,1.9
198212,47.5,0.6
198312,38.4,-8.5
198412,52.8,5.9
198512,44.1,-2.8
198612,45.9,-1.0
198712,47.5,0.6
198812,48.5,1.6
198912,39.7,-7.2
199012,45.8,-1.1
199112,49.2,2.3
199212,48.6,1.7
199312,49.2,2.3
199412,50.6,3.7
199512,48.8,1.9
199612,49.8,2.9
199712,45.0,-1.9
199812,48.2,1.3
199912,48.6,1.7
200012,42.4,-4.5
200112,49.4,2.5
200212,47.8,0.9
200312,49.1,2.2
200412,47.6,0.7
200512,47.2,0.3
200612,48.2,1.3
200712,49.2,2.3
200812,48.2,1.3
200912,43.1,-3.8
201012,49.2,2.3
201112,46.1,-0.8
201212,51.1,4.2
201312,44.8,-2.1
201412,50.7,3.8
201512,51.5,4.6
201612,49.6,2.7
201712,47.8,0.9
201812,48.3,1.4
201912,50.7,3.8
202012,48.5,1.6
202112,59.0,12.1
