Texas, Average Temperature, July
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
197607,78.0,-4.3
197707,83.0,0.7
197807,84.6,2.3
197907,81.9,-0.4
198007,86.1,3.8
198107,82.5,0.2
198207,82.7,0.4
198307,82.0,-0.3
198407,81.8,-0.5
198507,81.0,-1.3
198607,82.8,0.5
198707,80.6,-1.7
198807,81.1,-1.2
198907,81.6,-0.7
199007,79.9,-2.4
199107,80.9,-1.4
199207,81.4,-0.9
199307,83.1,0.8
199407,82.9,0.6
199507,82.7,0.4
199607,83.6,1.3
199707,82.7,0.4
199807,86.4,4.1
199907,81.8,-0.5
200007,84.1,1.8
200107,85.1,2.8
200207,80.9,-1.4
200307,82.1,-0.2
200407,80.7,-1.6
200507,82.4,0.1
200607,83.4,1.1
200707,79.0,-3.3
200807,81.7,-0.6
200907,84.1,1.8
201007,81.4,-0.9
201107,87.0,4.7
201207,83.4,1.1
201307,81.3,-1.0
201407,81.7,-0.6
201507,83.2,0.9
201607,85.4,3.1
201707,83.6,1.3
201807,84.5,2.2
201907,82.8,0.5
202007,85.2,2.9
202107,80.9,-1.4
