Texas, Average Temperature, August
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
197608,80.1,-1.8
197708,83.2,1.3
197808,81.0,-0.9
197908,79.6,-2.3
198008,83.0,1.1
198108,80.4,-1.5
198208,83.2,1.3
198308,82.8,0.9
198408,81.7,-0.2
198508,83.4,1.5
198608,81.0,-0.9
198708,82.2,0.3
198808,82.1,0.2
198908,80.5,-1.4
199008,80.5,-1.4
199108,80.3,-1.6
199208,78.2,-3.7
199308,82.9,1.0
199408,81.5,-0.4
199508,82.2,0.3
199608,80.3,-1.6
199708,81.8,-0.1
199808,82.3,0.4
199908,84.3,2.4
200008,84.2,2.3
200108,82.8,0.9
200208,82.8,0.9
200308,82.9,1.0
200408,79.2,-2.7
200508,81.3,-0.6
200608,83.6,1.7
200708,81.8,-0.1
200808,80.8,-1.1
200908,83.3,1.4
201008,84.4,2.5
201108,88.2,6.3
201208,83.7,1.8
201308,83.3,1.4
201408,82.6,0.7
201508,83.3,1.4
201608,81.5,-0.4
201708,80.6,-1.3
201808,83.0,1.1
201908,85.9,4.0
202008,84.4,2.5
202108,82.0,0.1
