Utah, Average Temperature, September
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
197609,61.1,0.5
197709,61.9,1.3
197809,59.4,-1.2
197909,64.5,3.9
198009,60.8,0.2
198109,63.2,2.6
198209,60.0,-0.6
198309,62.8,2.2
198409,61.3,0.7
198509,56.7,-3.9
198609,56.4,-4.2
198709,61.6,1.0
198809,59.6,-1.0
198909,61.7,1.1
199009,65.1,4.5
199109,61.3,0.7
199209,62.2,1.6
199309,60.5,-0.1
199409,63.4,2.8
199509,62.6,2.0
199609,59.0,-1.6
199709,61.7,1.1
199809,63.0,2.4
199909,59.8,-0.8
200009,62.0,1.4
200109,65.2,4.6
200209,61.0,0.4
200309,62.2,1.6
200409,60.2,-0.4
200509,60.8,0.2
200609,58.1,-2.5
200709,61.7,1.1
200809,61.9,1.3
200909,64.3,3.7
201009,63.8,3.2
201109,63.2,2.6
201209,63.6,3.0
201309,61.4,0.8
201409,64.2,3.6
201509,65.5,4.9
201609,61.1,0.5
201709,60.7,0.1
201809,65.8,5.2
201909,63.1,2.5
202009,63.9,3.3
202109,64.4,3.8
