Vermont, Average Temperature, January
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
197601,9.4,-5.9
197701,9.2,-6.1
197801,14.0,-1.3
197901,16.8,1.5
198001,18.4,3.1
198101,7.1,-8.2
198201,6.4,-8.9
198301,18.4,3.1
198401,13.4,-1.9
198501,11.5,-3.8
198601,16.7,1.4
198701,15.5,0.2
198801,15.4,0.1
198901,20.4,5.1
199001,26.2,10.9
199101,15.7,0.4
199201,16.4,1.1
199301,19.6,4.3
199401,5.4,-9.9
199501,24.1,8.8
199601,15.1,-0.2
199701,15.9,0.6
199801,21.7,6.4
199901,17.0,1.7
200001,15.0,-0.3
200101,17.8,2.5
200201,25.2,9.9
200301,9.5,-5.8
200401,7.2,-8.1
200501,13.9,-1.4
200601,26.0,10.7
200701,19.6,4.3
200801,21.5,6.2
200901,10.9,-4.4
201001,20.1,4.8
201101,15.7,0.4
201201,21.4,6.1
201301,18.6,3.3
201401,14.6,-0.7
201501,12.2,-3.1
201601,20.9,5.6
201701,24.8,9.5
201801,16.5,1.2
201901,14.9,-0.4
202001,23.4,8.1
202101,20.5,5.2
202201,12.1,-3.2
