Vermont, Average Temperature, October
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
197610,41.4,-3.8
197710,43.8,-1.4
197810,43.3,-1.9
197910,44.9,-0.3
198010,42.5,-2.7
198110,41.4,-3.8
198210,45.4,0.2
198310,45.0,-0.2
198410,47.4,2.2
198510,46.0,0.8
198610,44.4,-0.8
198710,43.0,-2.2
198810,41.6,-3.6
198910,46.3,1.1
199010,48.0,2.8
199110,47.5,2.3
199210,41.3,-3.9
199310,42.5,-2.7
199410,45.7,0.5
199510,49.5,4.3
199610,44.6,-0.6
199710,43.7,-1.5
199810,46.7,1.5
199910,43.3,-1.9
200010,45.6,0.4
200110,47.8,2.6
200210,42.9,-2.3
200310,44.1,-1.1
200410,45.4,0.2
200510,47.8,2.6
200610,44.4,-0.8
200710,51.1,5.9
200810,44.1,-1.1
200910,42.9,-2.3
201010,45.2,0.0
201110,47.7,2.5
201210,49.3,4.1
201310,47.8,2.6
201410,49.3,4.1
201510,44.3,-0.9
201610,47.7,2.5
201710,53.0,7.8
201810,44.5,-0.7
201910,47.3,2.1
202010,46.4,1.2
202110,51.8,6.6
